Source,Target,Distance
Tarqumya,Kh. Humsah,7.128403137941098
Tarqumya,Nahhalin,14.810816884682543
Zif,Birin,2.5911981200736687
Zif,Wadi a-Siq,130.62031768552424
Hebron,al-Buweib,6.321392869228939
Hebron,Birin,6.622387866224861
al-Buweib,Kh. Humsah,9.431799167761753
Tulkarm,Sabastiya,16.27502411182414
a-Za'ayem,'Anata,2.660961370684204
a-Za'ayem,a-Sawahrah a-Sharqiyah,4.114718111692761
al-Muntar,a-Sawahrah a-Sharqiyah,5.234361330757454
Qalandia,al-Khalayleh,4.2801324027471255
Qalandia,Hizma,5.931292675817588
Hizma,'Anata,2.800937479628262
Hizma,'Ein Samia,18.181508379907786
a-Sawahrah a-Sharqiyah,al-Khader,10.587895662110283
Jericho,Fasayil,18.3958154527791
al-Jiftlik,Lifjim,6.992434238434284
Wadi al-Ahmar,Fasayil,5.7319220233515935
Wadi al-Ahmar,Lifjim,5.817551814902246
Wadi al-Ahmar,Duma,5.950219657370543
al-Mughayir,Duma,2.701658831817198
al-Mughayir,'Ein Samia,5.653430457632432
Jenin R.C.,al-Jalameh,5.914746472935875
Jenin R.C.,Ya'bad,11.955771759442868
Jenin R.C.,Kh.Ibziq,14.648211570753855
Ya'bad,Sabastiya,18.897157689062908
Haris,Kafr a-Dik,5.822813283929622
Haris,Balata R.C.,18.989619389098863
Balata R.C.,Sabastiya,11.925981102864796
Balata R.C.,Lifjim,14.720077655666463
al-Khader,Nahhalin,4.909760568478359
Kh.Ibziq,Bardalah,6.694008587140808
